schoolID,rms,win,openWin,opSpFan,pOpSpFan,nOpSpFan,opExFan,pOpExFan,nOpExFan,opVent,pOpVent,nOpVent
M063,80,74,74,1,0,0,8,0,13,0,0,0
K022,118,72,71,85,0,30,89,0,26,0,0,0
M098,99,98,98,20,0,37,54,0,26,0,0,12
K026,133,100,100,4,1,1,62,5,34,0,0,0
K052,90,89,89,0,0,0,42,1,42,0,0,0
M834,199,74,69,156,5,5,133,3,37,0,0,1
K440,224,183,183,89,0,111,150,0,58,0,0,0
K238,104,101,94,3,0,1,3,4,48,44,0,7
M007,75,58,57,4,0,0,15,0,41,0,0,1
M005,120,76,76,70,0,36,48,1,49,0,0,0
Q228,47,22,21,29,0,0,31,0,15,0,0,0
M837,75,42,40,61,0,33,54,0,29,0,0,0
K015,93,65,65,7,0,0,77,0,8,11,0,1
M060,104,98,98,0,0,80,0,1,83,0,0,1
X650,124,123,123,11,0,23,20,0,85,63,0,14
R031,69,59,59,2,0,1,43,1,11,3,0,0
R460,226,177,165,30,1,5,110,0,93,0,0,0
K268,64,66,66,1,0,0,42,0,0,6,0,0
Q132,45,47,47,0,0,1,0,0,30,0,0,20
Q485,217,220,217,19,0,6,34,0,12,33,1,49
Q111,80,72,71,50,1,0,25,1,0,0,0,0
M807,46,15,13,34,0,8,2,0,1,0,0,0
K495,181,150,150,31,0,0,93,12,52,1,1,1
K214,82,81,81,2,0,1,8,0,29,41,0,0
K405,171,164,163,14,0,0,88,0,7,8,0,3
K114,96,97,96,33,0,1,54,0,6,0,0,0
M338,72,46,45,3,16,46,1,1,70,0,0,0
K328,106,85,83,24,0,1,79,0,6,0,0,0
M154,99,76,76,5,0,0,72,2,0,0,0,0
Q425,234,193,191,206,0,18,205,0,10,0,0,0
K094,102,92,88,1,0,39,34,1,31,3,0,0
K008,63,50,49,15,0,5,36,0,18,0,0,0
M905,22,14,14,0,0,0,2,0,3,0,0,0
K356,102,81,76,85,0,4,15,0,85,0,0,0
R035,32,27,27,0,0,0,13,2,14,0,0,0
Q229,156,97,97,22,0,0,93,6,19,0,0,0
K321,100,75,75,3,2,1,26,29,24,0,0,4
X460,135,64,57,64,0,53,11,5,111,0,0,0
M110,55,56,55,0,0,0,5,1,8,0,0,0
Q200,72,63,63,5,0,0,50,0,2,0,0,0
M868,66,59,57,55,6,8,35,24,10,0,0,0
R023,70,56,55,4,0,0,57,0,2,3,0,0
Q058,134,79,78,90,1,5,98,0,34,0,0,0
M104,85,80,80,5,0,0,8,0,1,4,1,0
M097,84,70,65,2,0,0,55,0,2,0,0,0
K041,99,85,78,12,0,0,59,3,20,0,0,0
X173,55,35,35,18,3,21,4,2,46,33,0,1
X455,415,289,288,133,72,92,68,12,317,16,2,188
Q085,48,48,47,1,0,0,23,0,3,0,0,0
Q219,82,66,62,21,0,11,65,0,10,0,0,22
K181,137,108,108,102,3,12,17,1,113,0,0,35
Q849,128,105,105,36,0,1,45,0,11,0,0,0
X445,247,163,163,40,4,6,99,8,89,0,1,1
K085,57,46,46,0,0,0,8,2,28,0,0,0
Q041,62,63,58,9,0,2,48,1,7,14,0,3
K273,79,73,73,2,0,0,58,0,12,0,0,0
R019,66,61,59,1,0,0,21,0,23,8,0,14
K119,48,43,40,0,0,0,6,0,2,1,0,0
X973,51,31,30,34,1,2,34,5,9,0,0,0
X722,66,39,40,52,0,14,73,0,4,0,0,0
M048,97,82,82,36,0,0,70,6,8,34,0,0
X158,204,121,121,64,0,1,184,0,0,0,0,0
Q125,166,149,146,49,0,14,105,0,22,66,2,2
M600,171,177,176,137,0,0,127,1,0,0,0,13
K097,69,65,62,0,0,16,29,0,15,18,0,8
M814,88,53,52,58,0,1,48,0,22,0,0,0
K460,216,187,174,1,0,91,9,4,76,0,0,0
M001,71,71,69,1,0,0,31,0,13,0,0,0
M169,62,23,23,57,0,0,51,0,0,25,0,0
X014,118,85,83,56,0,36,68,9,15,5,1,17
Q180,127,92,92,18,0,5,86,0,3,62,0,8
Q135,112,95,91,21,0,5,81,1,11,8,0,10
X292,76,35,31,22,3,25,44,1,44,0,0,0
K158,72,69,69,3,0,0,10,0,0,1,0,0
K107,53,45,45,1,0,4,14,0,27,0,0,0
X047,83,75,75,1,0,2,1,0,8,0,0,0
K051,112,91,90,6,0,2,63,1,5,0,0,0
K130,59,48,43,4,0,4,33,0,12,0,0,0
X069,39,37,36,3,0,23,7,0,27,0,0,0
M912,198,75,71,176,0,3,182,0,16,0,0,0
R038,39,31,31,15,0,0,16,0,16,0,0,0
Q163,109,87,78,31,0,6,52,0,40,16,0,8
X254,50,44,44,50,0,9,50,0,9,2,0,0
Q064,64,58,56,5,0,0,29,0,14,22,0,4
X148,133,106,105,1,0,9,18,0,94,0,0,0
X119,55,51,52,1,0,0,30,0,12,14,0,1
Q159,67,65,63,0,0,0,44,0,0,2,0,34
M112,96,47,47,6,0,0,49,0,33,1,0,0
X065,78,75,75,0,0,73,0,0,73,0,0,0
X192,122,103,96,24,0,2,101,0,16,11,0,1
X183,170,95,94,37,0,22,46,0,105,6,0,15
K010,89,85,78,5,2,2,37,2,14,1,0,0
M646,81,66,66,45,0,12,41,0,34,0,0,0
X113,147,151,145,23,0,1,49,0,6,52,0,20
K316,94,81,79,0,0,3,37,0,32,0,0,0
M625,181,167,165,1,0,7,90,0,25,0,0,0
K075,47,45,45,33,0,3,42,0,5,0,0,0
R045,68,65,65,9,0,0,17,0,37,30,0,9
M451,65,30,29,61,1,1,62,9,11,0,0,0
Q142,104,111,111,52,3,12,34,0,20,24,3,2
Q012,93,81,81,25,0,2,66,0,7,15,3,10
K170,99,82,78,18,0,36,33,0,4,0,0,0
Q102,147,79,79,52,0,23,27,0,112,0,0,0
M143,126,111,108,2,0,5,51,25,30,0,0,0
Q079,104,76,76,11,0,0,83,0,1,36,0,0
R011,49,46,44,5,1,9,26,1,2,11,0,0
X862,13,9,9,7,2,0,0,0,13,0,0,0
Q052,61,66,66,2,1,0,19,1,23,29,0,0
M207,81,68,68,2,1,2,20,0,46,2,2,5
K860,33,11,9,17,1,1,13,4,8,0,0,1
Q156,93,95,94,39,1,1,46,1,18,16,0,5
K304,87,66,66,3,0,1,67,3,3,0,0,0
K045,101,76,76,11,0,0,89,0,2,1,0,0
R435,288,126,121,136,0,5,182,0,50,35,0,0
K458,131,116,106,98,0,5,91,1,32,0,0,0
K296,118,114,113,10,0,0,96,1,10,1,0,0
K044,78,71,71,48,0,6,12,12,42,0,0,0
K161,78,83,83,1,1,3,0,7,55,0,0,0
K917,73,32,32,50,0,22,13,0,37,0,0,0
K012,97,66,66,54,3,10,8,0,23,0,0,0
K197,108,109,107,31,0,2,8,0,73,0,0,0
Q456,76,7,7,73,0,0,72,0,0,73,0,0
Q231,96,83,83,6,0,3,61,1,31,0,0,0
K278,100,94,94,3,0,1,37,1,39,0,0,0
Q721,154,105,101,50,5,61,64,3,63,0,0,0
Q082,65,45,44,11,0,5,39,0,13,12,2,0
Q520,110,62,61,91,0,1,99,5,6,0,0,0
X029,84,81,81,1,0,0,44,31,8,0,38,1
M117,130,107,107,12,0,1,102,0,1,0,0,0
R020,48,37,37,7,0,2,19,0,13,0,0,0
Q164,70,62,62,41,0,1,40,0,13,0,0,0
X134,91,72,72,4,0,0,30,18,29,0,0,4
M146,84,68,68,6,0,0,33,0,28,6,0,0
X066,115,109,109,44,0,24,68,0,17,0,0,0
K398,125,33,31,80,0,46,100,0,26,0,0,0
X285,63,38,34,35,3,18,6,0,53,0,0,1
K250,84,68,68,0,1,0,37,16,17,4,0,0
X068,78,68,65,3,0,4,8,0,25,0,0,9
K410,163,166,166,17,0,2,114,0,8,93,0,0
X117,106,106,101,7,0,3,60,0,13,0,0,0
R440,138,128,127,12,0,1,65,0,40,21,0,25
M751,51,50,49,0,0,0,0,0,0,0,0,0
Q101,58,55,54,0,0,0,39,0,2,0,0,0
Q129,82,71,71,29,0,0,78,0,1,24,0,0
K554,55,32,29,34,7,3,13,39,10,0,0,0
K033,152,116,115,6,1,0,73,13,25,0,0,0
M107,25,25,25,10,0,0,3,0,0,0,0,0
Q160,73,76,74,1,0,3,26,0,16,33,0,6
X087,55,47,40,4,0,33,8,0,31,9,1,23
Q034,46,50,47,2,0,3,18,1,2,12,0,0
M056,103,95,95,6,0,3,74,0,10,84,2,7
Q277,103,39,36,78,0,0,67,22,9,0,0,4
M488,236,133,132,171,0,9,16,0,50,0,0,0
M816,52,47,45,0,0,0,30,1,0,0,0,0
Q097,65,57,57,12,0,32,51,0,4,0,0,0
R049,93,82,82,10,1,1,2,0,87,1,0,0
X067,107,103,103,61,0,0,69,0,16,4,0,1
M087,64,63,63,1,0,0,5,0,0,2,0,0
X166,178,111,111,26,6,16,58,12,71,0,0,0
K317,110,72,72,79,0,3,101,1,9,0,0,0
X095,149,128,122,34,0,0,5,0,0,56,53,4
Q199,76,59,59,0,1,1,22,18,18,2,0,2
R831,44,40,40,2,0,0,22,0,5,0,0,0
Q335,79,53,52,63,0,0,74,0,0,0,0,0
M075,86,71,69,3,0,3,54,0,15,0,0,0
M342,89,53,48,65,0,0,65,0,4,0,0,0
Q311,88,69,60,69,0,1,81,0,8,59,0,0
M153,167,86,86,19,0,20,89,0,50,19,0,6
Q245,71,39,39,36,0,3,30,0,40,0,0,0
X174,146,99,99,0,0,0,24,2,71,82,0,1
Q292,126,70,70,79,8,13,81,10,46,0,0,0
K013,123,89,88,30,0,25,62,0,65,12,0,0
Q238,149,142,142,0,0,0,141,0,0,0,0,0
M477,299,193,162,106,0,45,229,0,52,132,0,21
Q157,125,112,112,1,0,0,86,0,35,2,0,0
M840,27,17,15,1,0,0,24,0,0,0,0,0
K095,87,82,80,25,0,0,36,0,0,17,0,0
Q221,80,66,66,4,0,1,32,5,17,0,0,0
X470,92,80,76,3,0,5,6,0,59,0,0,0
Q098,39,39,38,2,0,0,19,0,8,10,0,4
K007,114,70,70,58,0,34,32,0,80,0,0,0
X209,34,26,21,5,0,0,0,0,29,20,0,0
K050,113,97,97,4,0,2,70,3,26,0,0,1
Q024,124,88,87,48,0,13,78,0,25,17,0,0
Q130,55,54,53,5,0,2,43,0,8,15,0,0
Q398,60,45,44,41,0,0,36,0,22,0,0,0
K071,155,119,119,8,0,0,128,0,5,0,0,0
Q147,73,74,74,21,0,9,22,0,2,17,1,0
Q070,138,104,102,68,2,24,63,0,62,0,0,0
K035,75,76,76,47,0,2,45,0,9,0,0,24
Q339,86,54,52,71,0,4,81,0,13,0,0,0
K282,91,71,71,5,0,2,44,15,19,0,0,0
K804,101,82,79,3,0,5,19,0,7,0,0,1
R722,50,41,40,5,0,0,24,0,6,0,0,19
X055,107,106,101,0,0,1,26,0,70,0,0,0
Q054,48,47,47,25,1,2,16,2,4,1,0,0
K987,116,58,56,93,0,13,84,0,33,0,0,0
X089,95,95,95,15,0,1,56,1,19,55,0,5
M163,69,59,59,4,0,0,54,0,0,0,0,0
X130,59,51,51,0,0,0,48,0,0,1,0,0
Q088,103,74,70,41,1,33,49,0,46,21,1,0
X071,114,112,109,0,0,106,1,0,105,35,0,6
Q415,222,139,136,46,0,0,170,1,6,0,0,0
K019,94,77,76,5,0,0,45,10,18,0,0,0
K120,101,80,78,4,0,0,82,0,0,0,0,0
Q122,99,99,99,1,0,0,67,2,1,45,0,21
K049,157,144,144,5,0,0,101,2,8,0,0,0
Q139,68,61,60,16,1,11,39,0,14,25,0,0
M113,110,98,91,0,0,2,1,0,28,69,0,7
K057,110,91,91,12,0,0,28,5,58,0,0,0
K335,138,96,96,2,0,0,74,13,20,0,0,0
X859,38,3,1,43,0,2,7,0,3,0,0,0
X340,85,65,64,76,0,11,66,0,42,0,0,0
K113,122,111,111,5,0,2,59,2,29,0,0,0
X019,48,46,46,0,0,1,11,0,24,18,0,3
