schoolID,rms,win,openWin,opSpFan,pOpSpFan,nOpSpFan,opExFan,pOpExFan,nOpExFan,opVent,pOpVent,nOpVent
M111,82,60,60,0,0,0,50,0,5,37,0,8
Q032,77,71,71,4,0,0,49,0,10,39,0,3
K048,64,61,61,1,0,2,2,0,2,0,0,0
M118,128,120,119,5,0,66,29,0,21,0,0,0
M876,80,34,33,58,0,4,64,0,14,0,0,0
Q404,121,73,68,125,0,0,123,0,0,125,0,0
R041,82,74,72,6,0,0,50,0,6,37,1,0
Q168,122,98,92,3,0,2,42,6,48,0,0,0
K470,236,166,161,62,0,1,163,0,33,1,0,0
X392,60,33,31,42,1,22,18,23,22,0,0,0
X073,72,70,70,1,0,0,18,1,43,0,0,0
X053,69,71,71,0,0,0,64,0,6,0,0,0
X041,76,69,69,1,0,12,38,0,36,0,0,0
X009,97,89,88,8,0,0,40,4,15,42,3,3
K302,154,93,92,19,0,1,116,0,20,0,0,0
Q116,83,86,86,2,0,1,41,1,13,1,0,41
X498,168,74,73,53,0,51,21,0,116,0,0,0
M155,69,70,70,3,0,1,65,0,12,0,0,0
K039,41,33,33,0,0,0,9,1,0,0,0,0
Q109,120,127,126,2,0,1,6,3,28,59,3,12
X142,123,107,104,6,0,1,73,3,21,0,0,0
M528,31,21,20,22,0,0,21,0,10,0,0,0
Q108,131,103,103,32,0,0,47,0,52,0,0,6
Q100,99,84,83,22,0,2,61,0,8,0,0,0
Q015,50,49,45,3,0,5,23,0,8,0,0,26
M971,83,49,45,47,0,17,13,0,67,0,0,0
K160,59,55,55,1,0,0,7,0,21,0,0,0
K105,105,108,107,0,0,0,63,0,7,0,0,0
K208,70,70,66,5,0,0,15,0,26,21,0,21
Q208,127,59,59,68,0,19,81,16,24,0,0,0
Q214,64,56,55,4,0,0,9,0,1,0,0,0
R042,81,57,57,1,0,0,47,0,18,0,0,1
X306,162,124,124,43,4,7,30,0,127,85,1,2
K655,137,121,121,29,7,5,74,0,11,28,0,11
M271,104,54,54,1,1,0,13,0,71,41,0,0
Q191,61,53,53,5,0,0,45,0,1,0,0,0
X905,28,17,17,21,0,7,12,0,13,1,0,1
Q055,45,47,47,4,0,0,24,1,4,24,2,0
K018,34,31,31,2,0,0,7,0,2,1,0,0
Q176,100,74,74,57,0,3,69,0,12,0,0,0
X006,80,72,72,2,0,0,58,0,2,0,0,0
Q707,56,36,35,6,1,3,17,1,28,6,0,2
Q213,75,59,59,3,0,0,50,0,2,0,0,0
M918,117,53,53,84,0,3,71,0,35,0,0,0
K155,88,77,74,0,0,70,67,0,9,0,0,0
M036,113,103,104,0,0,0,74,5,23,47,13,2
X091,71,71,71,8,0,0,20,1,17,9,1,23
Q455,192,181,176,4,0,3,56,0,71,15,0,28
X050,76,76,73,1,0,0,43,0,11,0,0,0
Q026,86,74,74,53,1,0,59,0,7,0,0,0
X430,213,198,182,11,0,32,32,0,114,35,0,12
K172,49,46,46,32,0,3,0,0,38,0,0,0
K006,102,55,55,47,0,31,30,1,65,0,0,0
M200,102,71,71,4,0,1,65,0,24,3,0,2
M033,88,79,82,43,1,6,44,2,20,0,0,0
K169,95,90,90,20,0,47,53,0,39,21,0,7
Q197,91,72,72,4,0,1,76,0,6,0,0,1
X125,119,101,98,0,0,0,85,0,17,66,0,0
M165,109,103,92,1,0,0,62,1,4,74,0,6
R880,100,73,73,21,0,58,32,0,59,0,0,38
X107,76,77,77,40,0,0,56,0,0,61,0,1
K280,85,73,65,0,0,5,29,0,21,0,0,0
K209,73,73,73,10,0,0,51,0,0,0,0,38
K188,73,74,74,5,0,0,11,0,53,0,0,0
K199,70,66,65,6,0,0,52,0,0,14,0,0
K230,80,77,77,17,0,0,57,1,6,31,0,1
M022,110,90,90,7,0,1,39,3,49,4,0,1
K425,159,168,166,42,0,68,26,1,28,1,0,0
Q470,152,138,136,23,0,0,55,0,66,82,0,0
R053,73,55,55,4,0,6,65,0,3,0,0,0
R054,91,66,64,2,0,4,74,2,10,8,0,3
M166,59,57,51,36,0,22,7,1,53,41,0,1
Q030,80,61,61,5,1,3,43,11,11,4,0,0
Q247,100,54,53,71,0,5,59,0,37,0,0,0
Q043,144,111,110,103,0,10,93,0,14,0,0,0
M460,218,212,207,12,0,98,21,0,91,1,0,47
Q884,66,18,18,59,0,1,46,0,13,0,0,0
X167,185,62,61,104,3,21,91,2,37,0,0,0
X063,68,72,70,1,0,4,2,0,61,0,0,2
X410,204,200,199,8,0,3,59,0,77,0,0,70
M435,144,135,131,8,0,0,111,0,0,2,0,0
X206,60,39,39,48,0,0,33,2,21,0,0,0
M520,224,58,0,162,0,41,118,0,85,0,0,0
